_time,http_result,icmp_result,tcp_result,udp_result
2024-09-20 17:19:03+00:00,29.955,59.476,30.031,69.706
2024-09-20 17:19:01+00:00,33.209,31.992,29.947,42.514
2024-09-20 17:18:59+00:00,30.057,64.112,30.036,74.137
2024-09-20 17:18:57+00:00,39.228,43.609,30.135,53.984
2024-09-20 17:18:55+00:00,34.133,35.945,30.996,44.054
2024-09-20 17:18:53+00:00,27.908,42.208,433.082,44.073
2024-09-20 17:18:51+00:00,30.871499999999997,2.031,30.089,2603.965
2024-09-20 17:18:49+00:00,30.871499999999997,1001.323,30.089,52.155
2024-09-20 17:18:47+00:00,30.871499999999997,1001.198,30.089,52.155
2024-09-20 17:18:44+00:00,30.871499999999997,1001.198,30.089,52.155
2024-09-20 17:15:32+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:30+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:28+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:26+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:24+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:22+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:20+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:18+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:16+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:14+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:12+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:10+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:08+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:06+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:04+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:15:02+00:00,35.658,44.004,33.924,37.794
2024-09-20 17:15:00+00:00,37.316,65.716,23.372,46.454
2024-09-20 17:14:58+00:00,30.478,49.463,29.59,41.614
2024-09-20 17:14:56+00:00,32.709,48.035,32.544,32.323
2024-09-20 17:14:54+00:00,21.97,48.884,24.112,29.303
2024-09-20 17:14:52+00:00,25.491,54.727,20.86,25.287
2024-09-20 17:14:50+00:00,33.0,51.208,21.325,26.706
2024-09-20 17:14:48+00:00,26.579,40.535,21.133,27.308
2024-09-20 17:14:46+00:00,31.428,48.48,26.21,20.541
2024-09-20 17:14:44+00:00,22.109,57.116,26.493,20.451
2024-09-20 17:14:42+00:00,29.511,37.626,27.147,26.699
2024-09-20 17:14:40+00:00,33.646,60.215,33.683,31.051
2024-09-20 17:14:38+00:00,29.488,64.942,26.449,38.269
2024-09-20 17:14:36+00:00,28.085,50.117,29.42,26.207
2024-09-20 17:14:34+00:00,27.038,42.859,25.51,27.774
2024-09-20 17:14:32+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:30+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:28+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:26+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:24+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:22+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:20+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:17+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:15+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:13+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:11+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:09+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:07+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:05+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:03+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:14:01+00:00,27.205,30.757,100.577,34.103
2024-09-20 17:13:59+00:00,29.969,23.65,21.574,42.084
2024-09-20 17:13:57+00:00,21.204,19.43,24.129,42.084
2024-09-20 17:13:55+00:00,43.3,557.197,42.821,335.731
2024-09-20 17:13:53+00:00,27.152,22.4,27.236,26.644
2024-09-20 17:13:51+00:00,33.236,21.574,31.81,36.178
2024-09-20 17:13:49+00:00,27.968,24.783,24.763,39.763
2024-09-20 17:13:47+00:00,31.945,840.136,31.879,609.058
2024-09-20 17:13:45+00:00,31.945,167.069,31.879,33.825
2024-09-20 17:13:43+00:00,31.082,47.338,29.989,39.251
2024-09-20 17:13:41+00:00,30.078,428.35,30.081,197.889
2024-09-20 17:13:39+00:00,21.42,39.975,27.869,42.039
2024-09-20 17:13:37+00:00,29.774,74.754,26.78,38.355
2024-09-20 17:13:35+00:00,42.219,42.377,42.289,41.705
2024-09-20 17:13:33+00:00,31.386,34.422,28.811,22.922
2024-09-20 17:13:31+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:29+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:27+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:25+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:23+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:21+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:19+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:17+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:15+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:13+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:11+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:09+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:07+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:05+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:03+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:13:01+00:00,31.32,80.168,28.868,26.98
2024-09-20 17:12:59+00:00,23.789,62.684,25.117,30.353
2024-09-20 17:12:57+00:00,29.326,53.86,32.633,27.014
2024-09-20 17:12:55+00:00,28.249,40.053,31.204,238.3
2024-09-20 17:12:53+00:00,27.057,42.254,26.608,27.938
2024-09-20 17:12:51+00:00,25.317,53.042,23.76,39.6
2024-09-20 17:12:49+00:00,30.544,56.775,25.525,39.656
2024-09-20 17:12:47+00:00,35.922,49.037,25.343,23.195
2024-09-20 17:12:45+00:00,29.234,46.717,29.317,27.64
2024-09-20 17:12:43+00:00,36.131,48.167,35.856,102.077
2024-09-20 17:12:41+00:00,32.156,49.232,32.566,32.377
2024-09-20 17:12:39+00:00,41.309,45.34,38.287,31.413
2024-09-20 17:12:37+00:00,34.085,44.339,34.023,32.42
2024-09-20 17:12:35+00:00,40.197,50.616,42.875,35.364
2024-09-20 17:12:33+00:00,35.048,50.994,39.61,35.765
2024-09-20 17:12:31+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:29+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:27+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:25+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:23+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:21+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:19+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:17+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:15+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:13+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:11+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:09+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:07+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:05+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:03+00:00,30.871499999999997,47.734,30.089,52.155
2024-09-20 17:12:01+00:00,38.562,44.535,30.09,32.359
2024-09-20 17:11:59+00:00,44.141,50.564,42.598,32.319
2024-09-20 17:11:57+00:00,36.087,65.994,34.609,32.86
2024-09-20 17:11:55+00:00,37.693,58.285,31.459,32.111
2024-09-20 17:11:53+00:00,34.007,43.847,40.73,122.398
2024-09-20 17:11:51+00:00,38.03,66.645,37.481,41.638
2024-09-20 17:11:49+00:00,38.03,66.645,37.481,27.792
2024-09-20 17:11:47+00:00,32.413,186.727,39.671,33.937
2024-09-20 17:11:45+00:00,32.413,62.979,39.671,28.236
2024-09-20 17:11:43+00:00,41.964,40.713,30.088,38.599
